gene,bootstrap_ratio
WRAP73,-4.30143545698
INPP5F,-4.30572086577
EIF2S3,-4.30628594692
YPEL3,-4.30835257683
COX5A,-4.30882610472
METTL24,-4.31101696485
ZNF718,-4.31771823287
KDM1A,-4.32172917715
COMMD4,-4.32367169147
MYBPHL,-4.32378562408
NFRKB,-4.32538791483
LOC101928303,-4.32640600289
KCNH6,-4.32846706162
BID,-4.32860610502
URGCP,-4.32875588635
GLCCI1,-4.33643079792
CHCHD3,-4.3415560748
TRIM54,-4.34392310662
PCGF1,-4.34518088188
ADAMTS5,-4.34603648614
SLC24A2,-4.34774479393
CASP3,-4.35024162416
ST3GAL6-AS1,-4.35427284874
EIF1B,-4.3589446956
DGCR8,-4.36149244175
MRPL34,-4.36517265336
CAMKK1,-4.36747359476
DUSP12,-4.37260793724
PHYHIPL,-4.37261468166
LOC440300,-4.37828417526
KLHL4,-4.3818783207
CDH12,-4.38367641418
KDELC1,-4.38379611337
MKKS,-4.3858931475
PARPBP,-4.38723156874
ABCA6,-4.39051526773
LAPTM4B,-4.39126622118
MBNL2,-4.39264644213
LOC220729,-4.39466450778
ZFAND1,-4.39590215811
IBTK,-4.39741419666
BICDL2,-4.40125635541
RBFOX3,-4.40269874971
TMEM268,-4.40381901688
KAT6B,-4.41200355607
SLC38A2,-4.41807045069
SRFBP1,-4.42877442969
NARS2,-4.43232988853
FANCI,-4.43430531653
FAM209A,-4.44618417387
CASC1,-4.4466393237
EOGT,-4.45629627084
VAMP1,-4.45676894512
HCN1,-4.45774067267
RASA1,-4.45850789673
CACNG2,-4.46334439482
USP2,-4.4681046962
FAM209B,-4.46819676859
OCEL1,-4.47067400655
SRA1,-4.47073084975
NT5M,-4.47112444216
GTF3C3,-4.4854360912
NTHL1,-4.48693582719
RPS6KB1,-4.48736216188
MDGA2,-4.49261735816
MAML3,-4.49564950946
TFB2M,-4.50168623389
AMMECR1,-4.50394696414
ZNF32,-4.50455645026
GLRX,-4.5136576892
PUDP,-4.51975964939
VMP1,-4.52175040464
RP9,-4.52493190956
HAAO,-4.52630407057
ZNF487,-4.5367253317
HSPB9,-4.54346357753
FAM3C,-4.54458613281
RDH13,-4.5447117758
MCF2,-4.54545318442
AP1S3,-4.54876941387
CWF19L1,-4.55221219594
FAM76B,-4.55523447093
OSGEPL1,-4.55755765992
PP12613,-4.55886090517
TBCCD1,-4.56089742805
ITGA2B,-4.56876758453
TTC39B,-4.56977688996
DLG1,-4.57126613655
DCAF8,-4.580017968
PPL,-4.58506568422
ZC3H14,-4.58564503965
ZFP3,-4.58671672663
EIF5A2,-4.58674028605
KRIT1,-4.58712961577
LY6G5B,-4.58827850455
FBXO32,-4.59111813289
GAS2,-4.59572166085
PIK3C3,-4.59768942465
EIF4E1B,-4.60383208986
ANKRD34C,-4.60460496154
VWA5B2,-4.60610682632
ASTE1,-4.60715848631
RORB,-4.60717108902
SERTAD4-AS1,-4.61095830674
AFAP1L1,-4.61541404314
MLLT10,-4.61602061303
ZNF48,-4.62892991334
KIF9-AS1,-4.63094967063
