gene,bootstrap_ratio
CBFA2T3,5.08002929783
LOC728392,5.07925430666
CCNQ,5.07920993245
KLK10,5.07562030018
LYPD2,5.07191834825
HTRA1,5.07130318006
OCRL,5.07067591882
LOC101927811,5.07049652377
ATF7,5.06780829548
HSF1,5.06516075375
SEC23IP,5.06239494512
NMNAT3,5.06173785278
CHST7,5.05683333057
PHLDB3,5.05549159243
LOC440434,5.05368209063
DACH2,5.05118469171
SCN3B,5.05037680152
PTHLH,5.04954133341
SERPINE2,5.04862036563
ENO1,5.04785341118
RFC3,5.04668505809
GXYLT2,5.04584133575
GJA1,5.0451684845
CHPT1,5.04339984912
GNAQ,5.04316140012
RIPOR2,5.04197942268
FSTL5,5.03950729103
LYVE1,5.0338710923
AKR7A2,5.03359455791
CRYL1,5.03074389189
DENND2C,5.02987332157
CSRP2,5.02868682479
TPT1,5.02541859504
TP53TG1,5.02363378995
SLC14A1,5.02033640513
CASC10,5.01960659856
WDR66,5.01894107618
UBE2L6,5.0186080863
NOL4L,5.01807939312
HCN4,5.01517237547
SLC26A4-AS1,5.01304714565
MACROD2,5.01053176479
HRAS,5.00929846782
LAMC3,5.0044778737
PAMR1,5.00395230751
ADH5,5.00042922494
QKI,4.99938704956
HSD17B6,4.99695669647
PI4K2B,4.99668034682
DNAJB1,4.99383261619
SLC1A4,4.99153827474
EPS8,4.98910967832
SHISA4,4.98653130653
PTPRA,4.98631464917
TVP23A,4.98581218904
ARFIP1,4.98396762752
PRSS23,4.98141286098
COCH,4.98110765454
RNF150,4.97887551781
TMEM219,4.97689623129
FAM89A,4.97608364732
PUM3,4.97000269757
TMEM100,4.96719788919
AGAP2,4.96604854748
RNF182,4.9640408192
NKAIN4,4.96402421336
TOB2,4.96343832598
TECPR2,4.96146817191
SHC2,4.95906442436
VCAN,4.95880886024
TRAF3IP2,4.95432672903
SLC39A11,4.9525138843
PROCA1,4.95129199714
ILF3,4.94965908566
SERTM1,4.94894547488
LSAMP,4.94616777916
IL17RB,4.94104506633
SLC44A2,4.9377455065
CALD1,4.93713766472
MGC70870,4.93691999359
ISYNA1,4.9354937168
FZD8,4.93528963859
SNX16,4.93522159085
METTL7A,4.9332181187
CFAP58-AS1,4.93306592314
LOC644936,4.93072146621
FAIM,4.92717472505
SGSM1,4.92687517498
PDE4DIP,4.92513742097
ADD3,4.92401268413
EPN2,4.92321338822
PPARA,4.92185554979
STOM,4.92088843363
LIX1,4.92008822218
ARRB1,4.91978813491
TFPT,4.91850859854
FXN,4.91490844879
RIT1,4.91386543948
UHMK1,4.91202237498
MOB3A,4.91188595209
LSM4,4.90657023877
CAPN2,4.90509795982
MAPK8IP1P2,4.90504471453
CDH10,4.90468545385
RAB3IL1,4.90454532947
SLC2A10,4.90423895975
S100A13,4.90287736513
SKAP1,4.90226115453
KAT14,4.90174464237
PLEKHA4,4.90096623088
UBE2Z,4.89694376139
LIMS2,4.89631439625
EDARADD,4.89531499893
SMO,4.89389689523
MYT1,4.88919390513
LYN,4.88747231683
ATP9A,4.88442913539
PAAF1,4.88020754629
POFUT2,4.87957523633
RAP1GAP,4.87944124109
PSD3,4.87682434806
CASTOR1,4.87671420173
C3AR1,4.87616199022
QPRT,4.87566929752
TMTC3,4.87565569159
ACCS,4.87513227892
CYB5R1,4.87474119427
ACTR3,4.87258604355
CASKIN1,4.87144214309
PLCG2,4.86887773459
ACAD9,4.86815159071
TUBB8P12,4.86787981444
CCDC90B,4.86417267618
UNC5B-AS1,4.85993717365
PDK4,4.85800924078
PTPRZ1,4.85670987015
ALK,4.85660232378
PDLIM5,4.85462909646
SPPL3,4.85453859016
PTP4A1,4.85407504537
C1QBP,4.84819751171
RAPH1,4.8475184408
SYTL3,4.84594864281
EZR,4.84379485342
COL20A1,4.8421280037
CHRM2,4.84209188577
PIGS,4.84024174897
DPYD,4.83982210831
ZSCAN18,4.83821372525
ICAM5,4.83800647826
UBE2M,4.83689754323
MOB1B,4.8336773273
LOXL3,4.83179844829
PCDH17,4.82956692477
LOC148709,4.82869254499
CABCOCO1,4.82613743726
TMEM106A,4.82589241622
TOR1AIP1,4.82530379714
IMPACT,4.82367051791
